order_id,user_id,items,order_time,total_amount,shipping_address,status,status_change_time
ORD20251201001,12345,1:Apple iPhone 15:5999.00:1;8:AirPods Pro:1999.00:1,1764580000,7998.00,Beijing Chaoyang District,2,1764600000
ORD20251205002,12345,5:MacBook Pro:12999.00:1,1764920000,12999.00,Shanghai Pudong New Area,1,1764950000
ORD20251210003,12345,10:Nintendo Switch:2099.00:2;9:Sony WH-1000XM5:2499.00:1,1765350000,6697.00,Guangzhou Tianhe District,0,1765350000
ORD20251215004,12345,3:Xiaomi 14 Pro:3999.00:1;6:Dell XPS 13:8999.00:1,1765780000,12998.00,Shenzhen Nanshan District,0,1765780000
ORD20251110005,12345,7:iPad Pro:7999.00:1,1762732800,7999.00,Beijing Haidian,2,1762819200
ORD20251115006,12345,4:Huawei Mate 60:6999.00:1,1763164800,6999.00,Shanghai Xuhui,2,1763251200
ORD20251120007,12345,2:Samsung Galaxy S24:4999.00:1;8:AirPods Pro:1999.00:1,1763596800,6998.00,Guangzhou Yuexiu,2,1763683200
ORD20251125008,12345,5:MacBook Pro:12999.00:1;6:Dell XPS 13:8999.00:1,1764028800,21998.00,Shenzhen Futian,1,1764115200
ORD20251216009,12345,10:Nintendo Switch:2099.00:1,1765843200,2099.00,Chengdu Wuhou,0,1765843200
ORD20251216010,12345,9:Sony WH-1000XM5:2499.00:2,1765846800,4998.00,Hangzhou Xihu,0,1765846800
